date,obs_gdp,obs_consumption,obs_investment,obs_wages,obs_hours,obs_gdpdeflator,obs_nominalrate
1969-06-30,-0.00692341011479028,-0.00289373282920961,-0.0201983485050991,-0.000417478741480274,0.0381372558346245,0.0048052535847025,0.0047945838259919
1969-09-30,-0.00265016984373881,-0.00631337388405,0.0041749981206092,-0.000130910628488504,0.0380908009224816,0.00609536919790197,0.00911417429173514
1969-12-31,-0.0159208706214443,-0.00281766684246292,-0.0567155197467137,0.00258823969064933,0.0301486518354617,0.00495167609473433,0.0107210720611641
1970-03-31,-0.0110699076984965,-0.00580827230793139,-0.0440227334252014,0.000100627319711907,0.0211672467847919,0.00615279335262484,0.0106151126598172
1970-06-30,-0.00943487537293267,-0.00791333025619471,-0.00387164849202468,-0.00196830831135323,0.00288267652857055,0.00600586385432209,0.00971808339728887
1970-09-30,0.000947003877309474,0.000593669173409818,-0.00373578306374253,0.00420655492749174,-0.0072465957144372,0.000319085840128278,0.00803602468389989
1970-12-31,-0.0191786499035788,-0.0126597245609444,-0.0649260582758977,-0.00705193092369442,-0.0200666446070272,0.00529831779351062,0.005138871522747
1971-03-31,0.0160649259209154,0.00361664360558352,0.102930003059186,0.00146612099290474,-0.0205211469132838,0.00722906424066559,0.00233193277020253
1971-06-30,0.000285900440051582,-0.00234459657992807,0.0175916815990824,-0.00233937528065945,-0.0224466392468274,0.00519946625968546,-0.00189330382374655
1971-09-30,-0.00184498649136403,-0.00222743758575254,0.0036485701806335,-0.000325059742398307,-0.0276602483803225,0.00228608898336422,-0.000136797910885002
1971-12-31,-0.0053582017903088,0.00450871945798555,-0.0364400638092128,-0.00535847764049383,-0.0222172571568882,0.000454890932997757,0.00210999641570593
1972-03-31,0.00993735654574154,-0.00134090293324944,0.0457824477896729,0.00848543236639373,-0.016283365053865,0.00723063172590408,0.000316259202653517
1972-06-30,0.0133677793039645,0.00857345460835242,0.0467595159863219,0.0015760880296953,-0.0143166075165349,-0.0016407533514309,-0.0026611976444301
1972-09-30,-0.00148058976515811,0.00467576155789424,0.00787711723993037,-0.000218290781433131,-0.0139454071616614,0.00168374746868836,-0.000796156708365851
1972-12-31,0.00729275317695185,0.00882774589809494,0.00539162245478766,0.00215558975747151,-0.00878877755880492,0.00483098909371836,0.000299787994325193
1973-03-31,0.013611937933533,0.00886259674067121,0.037709488389142,0.010600249000228,0.000887755734859219,0.003607825583799,0.00129580811231015
1973-06-30,-0.00146644318957159,-0.00643267082025871,0.0279658569611918,-0.00530380843716031,0.00610401614032163,0.00739915305579173,0.00472079246692651
